Date,Open,High,Low,Close,Vol,Val
2012/05/10,6166,6188,6118,6168,87484.00,15430.00
2012/05/11,6115,6130,6029,6034,46950.00,17898.00
2012/05/14,6070,6079,5978,5994,36858.00,21310.00
2012/05/15,5900,5929,5740,5861,64200.00,25590.00
2012/05/16,5763,5796,5658,5661,81578.00,31664.00
2012/05/17,5711,5810,5711,5794,78580.00,27696.00
2012/05/18,5854,5913,5797,5896,109458.00,30150.00
2012/05/21,5971,5995,5926,5961,66012.00,26830.00
2012/05/22,5951,5952,5908,5919,42728.00,28110.00
2012/05/23,5831,5840,5783,5811,40006.00,26320.00
2012/05/24,5820,5867,5795,5863,42678.00,25002.00
2012/05/25,5876,5938,5833,5930,49702.00,23278.00
2012/05/28,5970,6022,5944,6018,45174.00,23928.00
2012/05/29,5956,6015,5951,6000,41038.00,24810.00
2012/05/30,5861,5885,5820,5840,44970.00,24158.00
2012/05/31,5876,5912,5863,5880,43730.00,24038.00
2012/06/01,5840,5880,5804,5868,40768.00,24594.00
2012/06/04,5952,6028,5936,5981,62680.00,21270.00
2012/06/05,5990,6021,5960,5969,45836.00,21362.00
2012/06/06,6032,6136,6030,6135,54192.00,25256.00
2012/06/07,6168,6195,6143,6171,45304.00,23106.00
2012/06/08,6050,6060,5950,5982,55574.00,23686.00
2012/06/11,6099,6150,6080,6112,34572.00,22530.00
2012/06/12,6034,6087,6029,6040,28976.00,23490.00
2012/06/13,6096,6131,6089,6129,23618.00,23898.00
2012/06/14,6110,6175,6110,6128,23642.00,24020.00
2012/06/15,6104,6135,6084,6122,31500.00,20836.00
2012/06/18,6137,6144,6050,6055,35028.00,23682.00
2012/06/19,6113,6124,6092,6102,24832.00,22552.00
2012/06/20,6045,6074,6036,6058,27156.00,23974.00
2012/06/21,5946,5974,5936,5952,27052.00,23512.00
2012/06/25,5750,5791,5736,5752,34760.00,27126.00
2012/06/26,5860,5869,5821,5828,26408.00,26522.00
2012/06/27,5802,5811,5763,5783,25104.00,28662.00
2012/06/28,5820,5820,5776,5784,20482.00,30072.00
2012/06/29,5703,5815,5680,5808,55532.00,31862.00
2012/07/02,5890,5890,5833,5845,33844.00,30066.00
2012/07/03,5863,5965,5860,5965,42430.00,28004.00
2012/07/04,6000,6026,5982,5998,34552.00,27522.00
2012/07/05,6015,6044,5993,6041,28236.00,28210.00
2012/07/06,5980,5995,5913,5919,37600.00,30970.00
2012/07/09,5847,5878,5826,5848,40528.00,32554.00
2012/07/10,5852,5876,5833,5835,27276.00,35256.00
2012/07/11,5797,5826,5796,5822,26732.00,36180.00
2012/07/12,5822,5825,5771,5784,29348.00,38600.00
2012/07/13,5817,5875,5808,5871,37832.00,36576.00
2012/07/16,5858,5878,5836,5877,33634.00,36890.00
2012/07/17,5897,5920,5852,5871,52052.00,38004.00
2012/07/18,5884,5884,5812,5847,47218.00,42274.00
2012/07/19,5858,5866,5831,5865,35042.00,40438.00
2012/07/20,5842,5850,5814,5832,37830.00,43620.00
2012/07/23,5845,5845,5777,5790,76106.00,54036.00
2012/07/24,5796,5822,5792,5794,63916.00,53654.00
2012/07/25,5784,5817,5740,5740,81420.00,64072.00
2012/07/26,5840,5886,5820,5872,100676.00,55172.00
2012/07/27,5862,5932,5862,5927,83740.00,57758.00
2012/07/30,5923,5925,5887,5893,66076.00,53020.00
2012/07/31,5978,6044,5972,6024,124084.00,61994.00
2012/08/01,5965,5992,5949,5990,76542.00,60402.00
2012/08/02,5880,5910,5880,5896,67152.00,60746.00
